Source,Target
5511,154400
272,1924
45269,368694
1443,437557
70,396371
8619,11365
1417,290595
46195,278927
361292,382399
68728,290595
13,28178
393,670
41233,537996
11324,470044
50620,489929
80271,112160
1903,440298
14636,474354
1581,1585
318846,429203
392044,446807
74997,244786
10675,400617
274870,329865
1645,413362
357096,458594
497,336843
1927,315635
8999,398181
399360,428446
2320,446791
1927,329865
302946,338768
39254,60308
59967,359940
9531,9741
81250,419478
1585,507419
65754,446807
1422,3597
207,437670
454652,487558
11660,520360
455980,470229
10590,11778
156022,273481
399248,426426
162,11069
11324,440298
104634,472451
670,3134
395834,406990
389015,457136
9502,278927
4951,470894
10541,11036
8810,425972
49521,419831
103,8834
49026,141052
60287,449459
75612,157336
333339,405774
562,401469
521,261470
90,438808
4771,146233
38,638
72570,458594
75780,395834
9631,97367
443009,454652
281957,440161
254128,489929
10144,417261
350,453201
11881,314365
13752,474354
262500,405774
787,2501
561,1452
141,17130
334543,425336
92506,184125
278,38234
754,72570
412862,429476
497,465136
155,141052
5925,467952
389015,424694
603,152601
261023,339103
8871,17979
11151,12405
262500,465136
388,152760
137,137113
37799,487593
38027,76203
64682,466282
10176,474354
597,9062
8966,109491
73,8346
630,313369
227,407436
400547,472451
154400,199373
38,696
405817,418827
13680,307081
8270,507419
9880,222935
37257,205587
273248,505500
254128,475210
809,1417
36557,401469
38757,150689
11675,489929
16869,289222
86834,407439
8966,171274
414425,487558
26684,80278
1417,44683
90,2034
507,507419
872,537996
49047,339964
1402,362077
10734,369972
581,407436
1366,8489
540,425972
112160,398818
74997,395834
75780,500919
311,395834
11393,312221
106646,261023
9479,17979
64689,154400
602,840
640,467952
111,4347
629,49049
235,510
111,675
14556,406990
550,391757
238636,483184
676,363676
72190,227156
9655,312221
561,4011
296,68724
23483,359940
82702,112160
1266,400535
2501,398181
378064,451925
220882,445651
311,13223
840,49849
218,6479
169917,470044
205596,376867
65,10476
65754,181283
275,500475
2034,7345
6529,384680
185,2048
262504,401905
39934,152532
340666,340674
3558,369972
2907,18239
6637,400617
363676,455980
312,447332
238,8012
14804,489927
673,109491
979,339692
3173,80278
38,300
767,150689
457917,554600
1254,1443
8065,261470
12619,13223
171274,336843
375262,511785
10651,395834
11420,184125
309050,399360
424,228150
228150,438799
8810,503346
2501,72570
210479,400617
82693,440298
539,1619
